ID,question,optionA,optionB,optionC,optionD,answer,explanation,,,
1,依財政收支劃分法規定，直轄市及縣（市）徵課稅捐時，不得以已課徵何種租稅之財貨為課稅對象？,貨物稅或菸酒稅,貨物稅,菸酒稅,國稅,A,避免重複課稅：地方不得對已課國稅（貨物稅、菸酒稅）的財貨再課稅。,,,
2,中央統籌分配稅款之來源，不包括下列何者？,所得稅,貨物稅,營業稅,菸酒稅,D,統籌款來源不含菸酒稅（菸酒稅由中央與地方依規定分成，非統籌款來源）。,,,
3,中央統籌分配稅款分為普通及特別兩種，分別為總額的多少百分比？,90%、10%,92%、8%,94%、6%,96%、4%,D,現行規定分配比例為：普通統籌稅款 94%、特別統籌稅款 6%。,,,
4,普通統籌分配稅款的分配指標，下列何者「不是」其計算時納入考慮的項目？,營利事業營業額,人口數,負債總額,土地面積,C,指標包含財政能力、人口、土地面積。負債總額非分配指標。,,,
5,下列何者非屬租稅法源？,租稅法律,租稅協定,司法判決,解釋函令,C,司法判決僅具個案拘束力，非正式租稅法源。,,,
6,依據財政收支劃分法最新規定，下列何者最符合現行制度？,中央不得動用未分配款,地方僅能透過補助補足,貨物稅全額地方化,中央可調整補助以支援地方,D,財劃法賦予中央權限，可調整補助款以平衡地方發展需求。,,,
7,下列何者為地方稅？,土地增值稅,所得稅,證券交易稅,遺產稅,A,土地增值稅、房屋稅、地價稅均屬直轄市及縣市稅（地方稅）。,,,
8,全國財政收支系統分為幾個層級？,二,三,四,五,C,分為中央、直轄市、縣（市）及鄉（鎮、市）三個財政層級。,,,
9,下列何者屬於財劃法中的「收入」？ ?公債及借款 ?工程受益費 ?罰款 ?規費,僅 ??,????,僅 ??,僅 ??,B,罰款、規費、工程受益費均屬法定收入。,,,
10,下列何者非為縣（市）支出？,考試支出,社會福利支出,經濟建設支出,交通支出,A,考試支出屬於考試院（中央級政府）之支出。,,,
11,下列何者不屬於國稅？,房屋稅,貨物稅,營業稅,關稅,A,房屋稅是典型的地方稅（縣市稅）。,,,
12,下列何者為國稅且有稅收分成之相關規定？,特種貨物及勞務稅,所得稅,遺產稅,印花稅,C,遺產稅為國稅，但依規定有部分比例須分成給地方政府。,,,
13,關於財劃法規定之相關敘述，下列何者錯誤？,地方不得課入境稅,所得稅分得部分列為補助,縣對鄉鎮市得予補助,上級得對下級給予協助,B,所得稅受分配部分列為「統籌分配稅」，非「補助收入」。,,,
14,遺產及贈與稅在直轄市與鄉（鎮、市）的分配比例各為何？,直轄市10%、鄉鎮50%,直轄市40%、鄉鎮80%,直轄市50%、鄉鎮80%,直轄市50%、鄉鎮100%,C,遺產及贈與稅分配：直轄市 50%、鄉（鎮、市）80%。,,,
15,下列何者不是國稅？,貨物稅,菸酒稅,契稅,遺產及贈與稅,C,契稅為地方稅，國稅包含所得、營業、遺產、菸酒等。,,,
16,避免影響私經濟部門從事經濟活動之決策，指何種原則？,經濟發展,租稅公平,量能課稅,租稅中立,D,避免稅制干預市場決策，稱為「租稅中立原則」。,,,
